SampleID,ncells_TC,ncells_TC_noNK
BC_adv_1,892,858
BC_adv_2,425,378
BC_adv_3,149,139
BC_adv_4,83,74
BC_adv_5,1437,1347
BC_adv_6,238,230
BC_adv_7,66,52
BC_adv_8,403,393
BC_early_1,1692,1614
BC_early_10,1156,1081
BC_early_11,176,156
BC_early_12,1809,1770
BC_early_13,62,59
BC_early_14,2720,2506
BC_early_15,3062,3019
BC_early_16,379,358
BC_early_17,119,109
BC_early_18,71,68
BC_early_19,107,101
BC_early_2,1138,1089
BC_early_20,232,195
BC_early_21,176,169
BC_early_22,2715,2576
BC_early_23,182,173
BC_early_24,202,191
BC_early_25,613,567
BC_early_26,65,62
BC_early_27,969,930
BC_early_28,649,628
BC_early_29,117,111
BC_early_3,2167,2088
BC_early_30,631,600
BC_early_31,380,362
BC_early_4,977,932
BC_early_5,1509,1463
BC_early_6,36,34
BC_early_7,105,86
BC_early_8,612,588
BC_early_9,281,273
CC_1,1763,1718
CC_10,22,17
CC_11,770,757
CC_12,16,16
CC_13,5,4
CC_14,332,310
CC_15,433,358
CC_2,70,67
CC_3,256,238
CC_4,180,160
CC_5,5,4
CC_6,3234,3157
CC_7,36,29
CC_8,385,318
CC_9,16,15
CRC_1,782,709
CRC_10,163,143
CRC_11,181,159
CRC_12,36,35
CRC_13,82,72
CRC_14,29,26
CRC_2,237,200
CRC_3,2801,2738
CRC_4,201,184
CRC_5,483,458
CRC_6,511,434
CRC_7,1707,1668
CRC_8,222,208
CRC_9,152,138
GBM_1,300,297
GBM_2,30,28
GBM_3,201,181
GBM_4,10,10
GBM_5,678,663
GBM_6,3,2
HCC_1,46,39
HCC_10,153,124
HCC_11,1247,645
HCC_12,303,174
HCC_13,1020,626
HCC_14,253,186
HCC_15,160,133
HCC_16,1183,1107
HCC_17,738,487
HCC_18,214,182
HCC_19,863,724
HCC_2,51,32
HCC_21,3,3
HCC_22,502,308
HCC_23,1817,1294
HCC_24,569,530
HCC_25,15,13
HCC_26,338,265
HCC_27,555,481
HCC_28,16,15
HCC_29,748,560
HCC_3,898,798
HCC_30,1003,765
HCC_31,819,564
HCC_4,2124,1697
HCC_5,31,28
HCC_6,62,35
HCC_7,883,846
HCC_8,447,356
HCC_9,2152,2086
HNSCC_1,1405,1353
HNSCC_10,433,359
HNSCC_11,500,486
HNSCC_12,1910,1848
HNSCC_14,2313,2232
HNSCC_15,4063,3739
HNSCC_16,8495,8344
HNSCC_2,325,305
HNSCC_3,763,743
HNSCC_4,308,287
HNSCC_5,759,713
HNSCC_6,1555,1512
HNSCC_7,953,918
HNSCC_8,354,333
HNSCC_9,657,608
MEL_1,211,207
MEL_10,27,26
MEL_11,64,63
MEL_12,65,56
MEL_13,622,615
MEL_14,4236,4189
MEL_16,2207,2163
MEL_17,2,2
MEL_18,23,18
MEL_2,737,720
MEL_20,531,503
MEL_21,663,651
MEL_22,645,630
MEL_23,1081,1056
MEL_3,17,16
MEL_4,56,54
MEL_5,14,12
MEL_6,589,576
MEL_7,104,103
MEL_8,51,51
MEL_9,96,95
NSCLC_adv_1,45,38
NSCLC_adv_2,2000,1951
NSCLC_adv_3,349,313
NSCLC_adv_4,132,116
NSCLC_adv_5,851,786
NSCLC_adv_6,366,341
NSCLC_adv_7,289,239
NSCLC_adv_8,1357,1324
NSCLC_early_1,726,682
NSCLC_early_10,961,836
NSCLC_early_11,1147,971
NSCLC_early_12,2752,2307
NSCLC_early_13,984,647
NSCLC_early_14,571,426
NSCLC_early_15,3345,3098
NSCLC_early_2,922,785
NSCLC_early_3,123,77
NSCLC_early_4,4135,3848
NSCLC_early_5,1656,1438
NSCLC_early_6,1353,1141
NSCLC_early_7,7760,7597
NSCLC_early_8,4985,4712
NSCLC_early_9,2496,2287
OV_1,512,417
OV_10,660,572
OV_11,907,832
OV_2,1171,923
OV_3,363,322
OV_4,294,274
OV_5,150,133
OV_6,748,600
OV_7,681,562
OV_8,111,102
OV_9,1089,979